Artifact ID,Primary File,Class,Recommendation,Confidence
ART-0001,financial/core/Cargo.toml,Transient,Investigate,50
ART-0002,financial/strategies/Cargo.toml,Transient,Investigate,50
ART-0003,.baseline_worktree_cbf0f859/financial/ese/Cargo.toml,Transient,Investigate,50
ART-0004,.baseline_worktree_cbf0f859/infrastructure/core/Cargo.toml,Transient,Investigate,50
ART-0005,adapters/cvd001/Cargo.toml,Product,Keep,100
ART-0006,infrastructure/core/Cargo.toml,Infrastructure,Keep,100
ART-0007,.baseline_worktree_cbf0f859/financial/strategies/Cargo.toml,Transient,Investigate,50
ART-0008,infrastructure/optimization/Cargo.toml,Infrastructure,Keep,100
ART-0009,financial/ese/Cargo.toml,Transient,Investigate,50
ART-0010,services/ultracrew_server/Cargo.toml,Transient,Investigate,50
ART-0011,adapters/gerad/Cargo.toml,Product,Keep,100
ART-0012,services/cvrp_server/Cargo.toml,Transient,Investigate,50
ART-0013,adapters/roadef/Cargo.toml,Product,Keep,100
ART-0014,adapters/ultracrew/Cargo.toml,Product,Keep,100
ART-0015,tools/repository_governance/main.py,Tool,Keep,100
ART-0016,adapters/chronosentiment/Cargo.toml,Product,Keep,100
ART-0017,infrastructure/observatory/api/Cargo.toml,Infrastructure,Keep,100
ART-0018,coralys-ecology/Cargo.toml,Transient,Investigate,50
ART-0019,coralys-core/Cargo.toml,Transient,Investigate,50
ART-0020,scripts/run_nse_cohort.py,Transient,Investigate,50
ART-0021,coralys-eval/Cargo.toml,Transient,Investigate,50
ART-0022,ui/package.json,Transient,Investigate,50
ART-0023,.baseline_worktree_cbf0f859/Cargo.toml,Transient,Investigate,50
ART-0024,.baseline_worktree_cbf0f859/infrastructure/observatory/api/Cargo.toml,Transient,Investigate,50
ART-0025,coralys-recommendation/Cargo.toml,Transient,Investigate,50
ART-0026,ui/ultracrew/package.json,Transient,Investigate,50
ART-0027,Cargo.toml,Transient,Investigate,50
ART-0028,coralys-infrastructure/Cargo.toml,Transient,Investigate,50
ART-0029,coralys-policy/Cargo.toml,Transient,Investigate,50
ART-0030,coralys-matching/Cargo.toml,Transient,Investigate,50
ART-0031,.baseline_worktree_cbf0f859/services/ui/package.json,Transient,Investigate,50
ART-0032,coralys-simulation/Cargo.toml,Transient,Investigate,50
ART-0033,.baseline_worktree_cbf0f859/scripts/run_nse_cohort.py,Transient,Investigate,50
ART-0034,adapters/airline/Cargo.toml,Product,Keep,100
ART-0035,coralys-decision/Cargo.toml,Transient,Investigate,50
ART-0036,apps/ultracrew-pilot-portal/package.json,Product,Keep,100
ART-0037,.baseline_worktree_cbf0f859/infrastructure/optimization/Cargo.toml,Transient,Investigate,50
ART-0038,adapters/cvrp/Cargo.toml,Product,Keep,100
ART-0039,coralys-planning/Cargo.toml,Transient,Investigate,50
ART-0040,services/ui/package.json,Transient,Investigate,50
ART-0041,coralys-v2/Cargo.toml,Transient,Investigate,50
ART-0042,coralys-moga/Cargo.toml,Product,Keep,100
